傘の重さ(g),柄の長さ(mm),柄の外径(mm),柄の内径,柄の断面積(cm2),,,
43.99,172,14.1,,C,,,
6.42,68,14.2,9.4,A,,,
8.63,92,11.4,,B,,,
4.7,74,9.64,,B,,,
6.85,66,14,7.8,C,,,
2.82,79,8.8,,B,,,
0.88,63,6.6,,B,,,
4.38,46,6.4,3.8,A,,,
1.1,36,4.3,,B,,,
1.22,35,3.4,,A,,,
0.9,36,2.9,1.64,A,,,
0.18,36,2.6,,A,,,
0.2,75,1.7,0.6,A,,,
0.16,40,1.24,,A,,,
2.32,55,11.7,8.8,A,,,
0.71,37,2.6,1.9,C,,,
1.39,56,4.1,,B,,,
5.2,58,7.2,5.3,A,,,
3.3,52,4.3,1.2,A,,,
3.78,65,4.7,1.8,A,,,
1.42,60,4.7,3,A,,,
1.47,38,4.5,2.4,A,,,
4.33,43,7.1,3.5,C,,,
0.38,29,2.8,1,A,,,
1.03,70,2,,A,,,
6.29,59,10.1,5,A,,,
6.47,93,13.1,6.8,C,,,
4.61,55,7,4.5,A,,,
8.75,83,9,,B,,,
8.79,63,6.8,,B,,,
2.48,56,5.2,,B,,,
0.8,49,4,,B,,,
8.02,54,5.3,,B,,,
19.21,128,15.5,4.6,C,,,
19.73,100,13.3,,B,,,
19.51,96,11,4.8,A,,,
5.53,47,6.4,,B,,,
0.36,42,3.1,2,C,,,
9.43,86,7.4,5.2,C,,,
8.23,88,7,2.8,A,,,
21.67,85,8.3,5,C,,,
11.63,83,12.8,8,C,,,
2.01,30,3,1.1,A,,,
1.97,58,5,1.5,A,,,
6.5,51,11.4,,B,,,
8.68,41,10.2,,B,,,
3.6,40,8.1,4,C,,,
0.19,25,2.8,2,A,,,
0.52,21,3.1,,B,,,
0.59,39,6.3,1.8,C,,,
16,72,11.2,5.8,A,,,
0.63,49,3.3,2.8,A,,,
0.66,65,2.4,,B,,,
0.98,73,2.9,,B,,,
0.51,71,3.1,2.1,A,,,
0.3,48,2.3,,B,,,
0.89,52,3.1,,C,,,
1.33,42,5,3.2,A,,,
0.8,49,3.5,,B,,,
1.22,54,5.3,3.3,C,,,
0.3,98,1.7,1.2,A,,,
0.42,62,1.1,1.2,A,,,
1.55,60,3.2,,B,,,
1,48,6,3.1,A,,,
9.47,84,10,,B,,,
22,49,15.3,10,C,,,
24.91,124,14.4,,B,,,
28.94,71,17.8,14,C,,,
12.8,52,13.8,8.8,C,,,
11.32,59,13.8,8,C,,,
14.48,74,12.6,7.5,C,,,
12.15,50,12.6,6.7,C,,,
9.64,53,9.8,5,C,,,
11.4,62,12,7.1,C,,,
6.99,55,9.6,6.8,C,,,
7.55,51,13.4,7.9,C,,,
6.12,69,13,11,A,,,
5.7,45,11,8.8,C,,,
6.95,53,15.4,9,C,,,
2.7,92,6,3.1,A,,,
2.17,93,6.6,4.1,A,,,
1.32,75,3.8,2.9,A,,,
3.3,119,7,3.6,A,,,
9.15,96,14,7.2,A,,,
30.83,69,14.7,9.1,A,,,
30.07,58,20,10.2,A,,,
5.27,48,8.9,7.1,C,,,
18.29,75,14,9.6,C,,,
23.45,116,14,9,C,,,
5.44,49,12.7,9.4,C,,,
5.01,61,13.1,7.4,C,,,
8.48,69,15.3,11.4,C,,,
8.62,62,13.5,9,C,,,
0.51,54,1.7,,B,,,
4.6,64,4.1,2.1,A,,,
4.97,83,4.1,2.3,A,,,
2.71,68,4.46,2.9,A,,,
3.93,76,4.4,2.9,A,,,
2.4,78,3.4,1.7,A,,,
1.06,64,3.2,,B,,,
10.6,54,11.6,,B,,,
9.74,69,12,7.1,C,,,
2.32,31,6,5.1,A,,,
3.2,70,12.7,8.7,C,,,
4.3,61,14.2,,B,,,
1.88,45,11.4,5.1,C,,,
0.25,26,5.5,3.3,C,,,
0.7,37,7.1,2.8,A,,,
5.39,35,7.8,3.8,A,,,
2.52,34,8.4,6.7,A,,,
8.55,30,7.3,2.7,C,,,
14.35,166,10.6,,B,,,
7.18,132,10.6,,B,,,
4.78,43,5.8,3.8,C,,,
3.5,57,6.1,2.1,A,,,
6.17,65,14.7,9,C,,,
1.91,39,5.8,3.5,C,,,
1.1,40,3.6,2.4,A,,,
2.38,51,4.7,,B,,,
2.2,3.5,3.5,,B,,,
15.9,57,6.4,4.3,C,,,
1.69,85,1.9,1.7,A,,,
0.79,84,1.7,1.5,A,,,
2,82,2.4,2.2,A,,,
0.45,80,1.7,1.3,A,,,
0.5,82,1.4,1.2,A,,,
0.36,77,1.7,1.4,A,,,
1,73,2.5,2.3,A,,,
0.8,29,5.9,,B,,,
19.06,104,11.6,,B,,,
7.33,38,10.1,,B,,,
9,84,5.4,4.1,A,,,
3.32,45,6.7,3.9,C,,,
4.16,112,8.4,9.5,AA,,,
24.6,91,9.5,4.2,C,,,
0.8,20,1.9,1.6,A,,,
0.68,82,1.6,1.1,A,,,
0.78,57,3.6,2.8,C,,,
3.2,15,5.3,,B,,,
0.49,35,2.3,,B,,,
0.75,4,2.3,,B,,,
0.33,31,2.2,,B,,,
0.14,39,1.7,,B,,,
0.68,50,2.7,0.9,A,,,
0.35,52,2.1,0.9,A,,,
0.29,22,2.8,,B,,,
0.15,44,0.9,0.5,A,,,
5.82,84,9.7,4.9,C,,,
19,143,12.5,,B,,,
4.7,86,4.2,,B,,,
44.37,88,15.1,,B,,,
4.13,46,8.1,4.8,C,,,
1.91,46,9.4,5.1,C,,,
2.55,50,8.8,4.9,C,,,
6.65,58,12.6,8.8,C,,,
4.69,46,8.1,3.5,C,,,
2.94,40,6.5,5.1,C,,,
3.98,50,10.4,7.5,C,,,
7.1,61,10.1,5.4,C,,,
0.98,35,5.7,3.4,C,,,
2.83,45,8.1,7,C,,,
6.49,56,10.8,8.4,A,,,
3.9,60,7.3,4,A,,,
5.88,91,6.6,4.1,C,,,
4.76,46,8.9,7.4,A,,,
2.43,80,3.6,2.3,A,,,
5.23,44,5.1,3.2,A,,,
1.18,66,3.6,,B,,,
1.38,63,4.1,2.1,A,,,
0.9,55,3.6,,B,,,
1.8,91,3.6,,B,,,
2.38,86,4.5,2.7,A,,,
1.07,43,2.6,1.7,A,,,
2.37,51,8.7,6.5,C,,,
3.04,69,10.7,7.1,C,,,
3.99,76,12.3,8.1,C,,,
0.21,28,1.9,0.9,C,,,
0.31,74,2,0.9,A,,,
8.6,53,7.8,5.7,C,,,
25.43,73,15.7,12.5,A,,,
0.3,20,2.8,1.6,C,,,
4.43,120,6.5,5.5,C,,,
1.26,61,4.7,4.1,A,,,
7.84,63,11.6,,B,,,
3.13,66,6.9,,B,,,
50.58,182,15.8,,B,,,
7,76,10.7,,B,,,
9.12,78,12.3,,B,,,
19.13,148,15.6,,B,,,
45.38,157,18.6,,B,,,
2.11,66,3.4,2,A,,,
2.27,37,4.5,,B,,,
2.56,122,6.8,,B,,,
3.37,73,5.9,3.9,A,,,
9.9,81,13.7,10.9,C,,,
0.13,40,2.7,1.9,A,,,
0.2,41,2.9,2.1,A,,,
41.3,64,16.7,10.6,C,,,
1.28,45,5.2,4.9,A,,,
1.46,61,4.1,,B,,,
1.43,57,3.7,2.7,A,,,
1.31,50,3.6,2.9,A,,,
0.52,53,2.1,1.3,A,,,
0.29,58,3.8,1.4,A,,,
0.6,41,4.2,1.8,A,,,
0.13,24,0.7,0.4,A,,,
0.39,48,1.7,1.3,A,,,
1.66,46,3.7,,B,,,
0.51,46,3.8,,B,,,
1.4,45,3,1.8,C,,,
0.51,42,3.4,1.2,A,,,
0.25,34,3.1,1.8,A,,,
3.07,69,4.6,1.3,A,,,
1.7,51,5.9,3.1,C,,,
0.8,42,4.2,3,A,,,
0.52,47,2.9,1.9,A,,,
2.11,59,7,,B,,,
72.6,86,23.8,17,C,,,
0.48,42,4.2,2.1,A,,,
2.8,32,11.2,8.7,C,,,
0.11,44,2.06,1.5,A,,,
0.15,41,1.6,,B,,,
0.12,31,4.1,1.6,A,,,
0.51,49,2.7,1.4,A,,,
0.5,53,2.3,,B,,,
0.87,62,4.4,1.4,A,,,
0.2,49,3.1,1.1,A,,,
0.63,81,2.8,1.8,A,,,
0.76,78,3.7,2.3,A,,,
0.13,47,1,0.8,A,,,
4.48,28,8.4,,B,,,
0.5,40,2.7,1.4,A,,,
6.86,51,10.4,6.9,C,,,
4.1,31,7.5,4.4,C,,,
4.24,36,7.6,,B,,,
0.64,38,5.1,3.6,C,,,
0.65,52,1.5,0.7,A,,,
1.42,78,6.3,,B,,,
0.1,50,2,0.9,A,,,
0.28,35,1.88,0.5,A,,,
1.36,64,4,2.2,A,,,
0.82,47,3.8,2.3,A,,,
0.42,29,3.5,1.8,A,,,
0.17,52,1.1,0.6,A,,,
0.2,34,2.7,0.7,A,,,
0.16,48,1.3,0.3,A,,,
0.6,70,1.7,1.2,A,,,
0.15,58,1.6,0.8,A,,,
0.12,42,1.8,0.8,C,,,
0.33,49,1.9,1.3,A,,,
0.31,15,1.6,1.2,A,,,
0.15,20,3.4,1.5,A,,,
0.19,18,3.4,1.4,A,,,
0.11,51,1.3,0.6,A,,,
0.11,54,1.3,0.9,A,,,
0.1,40,1.4,0.8,A,,,
0.43,21,3.8,,B,,,